"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
"hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard"
"Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs"
"4.89897948556636","2","2","0","2","3.46410161513775","0","4.47213595499958","4.89897948556636","2","0","3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","4","0","0","0","0","0","2.82842712474619","0","0","2.82842712474619","3.46410161513775","6.6332495807108","4.47213595499958","3.46410161513775","4.87831517751085","1.41421356237309","3.86370330515627","3.16227766016838","4.87831517751085","2.44948974278318","6.69213042990246","4.44948974278318","2","2.82842712474619","0","0","2","2","7.13990550260661","5.61176740295156","4.44948974278318","4.96811878506867","5.18154055035205","7.87831517751085","3.41421356237309","0","2.82842712474619","9.01679438299294","6.6592548526043","9.23471254648983","2.41421356237309","8.37583645277908","11.2387321278574","7.62971753505611","13.3420087071232"
"2","2","0","2","3.46410161513775","0","4.47213595499958","4.89897948556636","2","0","3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","4","0","0","0","0","0","2.82842712474619","0","0","2.82842712474619","3.46410161513775","6.6332495807108","4.47213595499958","3.46410161513775","2.82842712474619","2.82842712474619","1.41421356237309","2.44948974278318","6.62637927530613","1.41421356237309","6.69213042990246","4.44948974278318","2.44948974278318","4.82842712474619","0","0","2","0","4.44948974278318","7.85269341999181","4.44948974278318","3","6.41760852785184","5.73205080756888","4.87831517751085","3.41421356237309","1.41421356237309","3.14626436994197","8.69895713779716","6.6592548526043","7.50266173892095","3.41421356237309","8.37583645277908","10.0139872564658","8.33682431624266","12.9759833033387"
"2","0","2","3.46410161513775","0","4.47213595499958","4.89897948556636","2","0","3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","4","0","0","0","0","0","2.82842712474619","0","0","2.82842712474619","3.46410161513775","6.6332495807108","4.47213595499958","3.46410161513775","2.82842712474619","4","1.41421356237309","3.86370330515627","3.16227766016838","4.87831517751085","2.44948974278318","6.69213042990246","4.44948974278318","2","2.82842712474619","0","0","2","2","7.13990550260661","5.61176740295156","4.82842712474619","3.73205080756888","5.68555772028297","6.46410161513775","4.56047793231507","2","1.41421356237309","6.46288916029737","7.38233234744176","6.6592548526043","7.79555495773441","2.41421356237309","9.79005001515218","10.2210940376523","8.62971753505611","13.329536693932"
"0","2","3.46410161513775","0","4.47213595499958","4.89897948556636","2","0","3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","4","0","0","0","0","0","2.82842712474619","0","0","2.82842712474619","3.46410161513775","6.6332495807108","4.47213595499958","3.46410161513775","2.82842712474619","4","2.82842712474619","1.41421356237309","2.44948974278318","6.62637927530613","1.41421356237309","6.69213042990246","4.44948974278318","2.44948974278318","4.82842712474619","0","0","2","0","4.44948974278318","7.85269341999181","4.44948974278318","4.82842712474619","2.73205080756888","5.68555772028297","7.87831517751085","5.14626436994197","0","1.41421356237309","8.69895713779716","6.56047793231507","5.95214807141775","9.2097685201075","1","10.7900500151522","10.7210940376523","8.33682431624266","13.4759833033387"
"2","3.46410161513775","0","4.47213595499958","4.89897948556636","2","0","3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","4","0","0","0","0","0","2.82842712474619","0","0","2.82842712474619","3.46410161513775","6.6332495807108","4.47213595499958","3.46410161513775","2.82842712474619","4","2.82842712474619","0","3.86370330515627","3.16227766016838","4.87831517751085","2.44948974278318","6.69213042990246","4.44948974278318","2","2.82842712474619","0","0","2","2","7.13990550260661","5.61176740295156","4.82842712474619","2","4.96811878506867","5.18154055035205","7.87831517751085","3.41421356237309","0","2.82842712474619","9.01679438299294","4.82842712474619","7.17689294280934","7.98502364871591","2","9.79005001515218","10.7210940376523","8.33682431624266","13.4759833033387"
"3.46410161513775","0","4.47213595499958","4.89897948556636","2","0","3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","4","0","0","0","0","0","2.82842712474619","0","0","2.82842712474619","3.46410161513775","6.6332495807108","4.47213595499958","3.46410161513775","2.82842712474619","4","2.82842712474619","0","2","2.44948974278318","6.62637927530613","1.41421356237309","6.69213042990246","4.44948974278318","2.44948974278318","4.82842712474619","0","0","2","0","4.44948974278318","7.85269341999181","4.44948974278318","4.82842712474619","1.41421356237309","6.41760852785184","5.73205080756888","4.87831517751085","3.41421356237309","1.41421356237309","3.14626436994197","8.69895713779716","4.41421356237309","8.59110650518243","5.86370330515627","3.22474487139159","9.27241192494713","10.2210940376523","8.83682431624266","13.4759833033387"
"0","4.47213595499958","4.89897948556636","2","0","3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","4","0","0","0","0","0","2.82842712474619","0","0","2.82842712474619","3.46410161513775","6.6332495807108","4.47213595499958","3.46410161513775","2.82842712474619","4","2.82842712474619","0","2","2.82842712474619","3.16227766016838","4.87831517751085","2.44948974278318","6.69213042990246","4.44948974278318","2","2.82842712474619","0","0","2","2","7.13990550260661","5.61176740295156","4.82842712474619","2","3.41421356237309","5.68555772028297","6.46410161513775","4.56047793231507","2","1.41421356237309","6.46288916029737","7.38233234744176","3.82842712474619","8.59110650518243","4.63895843376468","5.5699527513033","7.92720404503542","9.35506863386789","9.5439310974292","13.3636108676429"
"4.47213595499958","4.89897948556636","2","0","3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","4","0","0","0","0","0","2.82842712474619","0","0","2.82842712474619","3.46410161513775","6.6332495807108","4.47213595499958","3.46410161513775","2.82842712474619","4","2.82842712474619","0","2","2.82842712474619","0","6.62637927530613","1.41421356237309","6.69213042990246","4.44948974278318","2.44948974278318","4.82842712474619","0","0","2","0","4.44948974278318","7.85269341999181","4.44948974278318","4.82842712474619","1.41421356237309","2","5.68555772028297","7.87831517751085","5.14626436994197","0","1.41421356237309","8.69895713779716","6.56047793231507","2.41421356237309","9.59110650518243","3.63895843376468","7.15109158138749","6.34606521495123","9.35506863386789","9.54393109742921","13.3636108676429"
