"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard"
"Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs"
"4.89897948556636","2","2","0","2","3.46410161513775","0","4.47213595499958","4.87831517751085","1.41421356237309","3.86370330515627","3.16227766016838","4.44948974278318","4.96811878506867","6.6592548526043"
"2","2","0","2","3.46410161513775","0","4.47213595499958","4.89897948556636","2.82842712474619","1.41421356237309","2.44948974278318","6.62637927530613","3","6.41760852785184","6.6592548526043"
"2","0","2","3.46410161513775","0","4.47213595499958","4.89897948556636","2","1.41421356237309","3.86370330515627","3.16227766016838","4.87831517751085","3.73205080756888","5.68555772028297","6.6592548526043"
"0","2","3.46410161513775","0","4.47213595499958","4.89897948556636","2","0","1.41421356237309","2.44948974278318","6.62637927530613","1.41421356237309","2.73205080756888","5.68555772028297","5.95214807141775"
"2","3.46410161513775","0","4.47213595499958","4.89897948556636","2","0","3.46410161513775","3.86370330515627","3.16227766016838","4.87831517751085","2.44948974278318","4.96811878506867","5.18154055035205","7.17689294280934"
"3.46410161513775","0","4.47213595499958","4.89897948556636","2","0","3.46410161513775","6","2.44948974278318","6.62637927530613","1.41421356237309","6.69213042990246","6.41760852785184","5.73205080756888","8.59110650518243"
"0","4.47213595499958","4.89897948556636","2","0","3.46410161513775","6","3.46410161513775","3.16227766016838","4.87831517751085","2.44948974278318","6.69213042990246","5.68555772028297","6.46410161513775","8.59110650518243"
"4.47213595499958","4.89897948556636","2","0","3.46410161513775","6","3.46410161513775","2.82842712474619","6.62637927530613","1.41421356237309","6.69213042990246","4.44948974278318","5.68555772028297","7.87831517751085","9.59110650518243"
"4.89897948556636","2","0","3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","4.87831517751085","2.44948974278318","6.69213042990246","4.44948974278318","5.18154055035205","7.87831517751085","9.23471254648983"
"2","0","3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","0","1.41421356237309","6.69213042990246","4.44948974278318","2.44948974278318","5.73205080756888","4.87831517751085","7.50266173892095"
"0","3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","2.44948974278318","6.69213042990246","4.44948974278318","2","6.46410161513775","4.56047793231507","7.79555495773441"
"3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","4","6.69213042990246","4.44948974278318","2.44948974278318","4.82842712474619","7.87831517751085","5.14626436994197","9.2097685201075"
"6","3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","4","0","6.69213042990246","4.44948974278318","2","2.82842712474619","7.87831517751085","3.41421356237309","7.98502364871591"
"3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","4","0","0","4.44948974278318","2.44948974278318","4.82842712474619","0","4.87831517751085","3.41421356237309","5.86370330515627"
"2.82842712474619","3.46410161513775","0","2.82842712474619","4","0","0","0","4.44948974278318","2","2.82842712474619","0","4.56047793231507","2","4.63895843376468"
"3.46410161513775","0","2.82842712474619","4","0","0","0","0","2.44948974278318","4.82842712474619","0","0","5.14626436994197","0","3.63895843376468"
"0","2.82842712474619","4","0","0","0","0","0","2","2.82842712474619","0","0","3.41421356237309","0","2.41421356237309"
"2.82842712474619","4","0","0","0","0","0","2.82842712474619","4.82842712474619","0","0","2","3.41421356237309","1.41421356237309","3.41421356237309"
"4","0","0","0","0","0","2.82842712474619","0","2.82842712474619","0","0","2","2","1.41421356237309","2.41421356237309"
