"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard"
"Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs"
"4.89897948556636","2","2","0","2","3.46410161513775","0","4.47213595499958","4.89897948556636","2","0","3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","4.87831517751085","1.41421356237309","3.86370330515627","3.16227766016838","4.87831517751085","2.44948974278318","6.69213042990246","4.44948974278318","4.44948974278318","4.96811878506867","5.18154055035205","7.87831517751085","6.6592548526043","9.23471254648983","11.2387321278574"
"2","2","0","2","3.46410161513775","0","4.47213595499958","4.89897948556636","2","0","3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","1.41421356237309","2.44948974278318","6.62637927530613","1.41421356237309","6.69213042990246","4.44948974278318","2.44948974278318","3","6.41760852785184","5.73205080756888","4.87831517751085","6.6592548526043","7.50266173892095","10.0139872564658"
"2","0","2","3.46410161513775","0","4.47213595499958","4.89897948556636","2","0","3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","1.41421356237309","3.86370330515627","3.16227766016838","4.87831517751085","2.44948974278318","6.69213042990246","4.44948974278318","2","3.73205080756888","5.68555772028297","6.46410161513775","4.56047793231507","6.6592548526043","7.79555495773441","10.2210940376523"
"0","2","3.46410161513775","0","4.47213595499958","4.89897948556636","2","0","3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","4","1.41421356237309","2.44948974278318","6.62637927530613","1.41421356237309","6.69213042990246","4.44948974278318","2.44948974278318","4.82842712474619","2.73205080756888","5.68555772028297","7.87831517751085","5.14626436994197","5.95214807141775","9.2097685201075","10.7210940376523"
"2","3.46410161513775","0","4.47213595499958","4.89897948556636","2","0","3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","4","0","3.86370330515627","3.16227766016838","4.87831517751085","2.44948974278318","6.69213042990246","4.44948974278318","2","2.82842712474619","4.96811878506867","5.18154055035205","7.87831517751085","3.41421356237309","7.17689294280934","7.98502364871591","10.7210940376523"
"3.46410161513775","0","4.47213595499958","4.89897948556636","2","0","3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","4","0","0","2.44948974278318","6.62637927530613","1.41421356237309","6.69213042990246","4.44948974278318","2.44948974278318","4.82842712474619","0","6.41760852785184","5.73205080756888","4.87831517751085","3.41421356237309","8.59110650518243","5.86370330515627","10.2210940376523"
"0","4.47213595499958","4.89897948556636","2","0","3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","4","0","0","0","3.16227766016838","4.87831517751085","2.44948974278318","6.69213042990246","4.44948974278318","2","2.82842712474619","0","5.68555772028297","6.46410161513775","4.56047793231507","2","8.59110650518243","4.63895843376468","9.35506863386789"
"4.47213595499958","4.89897948556636","2","0","3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","4","0","0","0","0","6.62637927530613","1.41421356237309","6.69213042990246","4.44948974278318","2.44948974278318","4.82842712474619","0","0","5.68555772028297","7.87831517751085","5.14626436994197","0","9.59110650518243","3.63895843376468","9.35506863386789"
"4.89897948556636","2","0","3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","4","0","0","0","0","0","4.87831517751085","2.44948974278318","6.69213042990246","4.44948974278318","2","2.82842712474619","0","0","5.18154055035205","7.87831517751085","3.41421356237309","0","9.23471254648983","2.41421356237309","8.237034645118"
"2","0","3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","4","0","0","0","0","0","2.82842712474619","1.41421356237309","6.69213042990246","4.44948974278318","2.44948974278318","4.82842712474619","0","0","2","5.73205080756888","4.87831517751085","3.41421356237309","1.41421356237309","7.50266173892095","3.41421356237309","7.71939655491296"
"0","3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","4","0","0","0","0","0","2.82842712474619","0","2.44948974278318","6.69213042990246","4.44948974278318","2","2.82842712474619","0","0","2","6.46410161513775","4.56047793231507","2","1.41421356237309","7.79555495773441","2.41421356237309","7.21939655491296"
"3.46410161513775","6","3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","4","0","0","0","0","0","2.82842712474619","0","0","6.69213042990246","4.44948974278318","2.44948974278318","4.82842712474619","0","0","2","0","7.87831517751085","5.14626436994197","0","1.41421356237309","9.2097685201075","1","7.21939655491296"
"6","3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","4","0","0","0","0","0","2.82842712474619","0","0","2.82842712474619","6.69213042990246","4.44948974278318","2","2.82842712474619","0","0","2","2","7.87831517751085","3.41421356237309","0","2.82842712474619","7.98502364871591","2","7.06047793231506"
"3.46410161513775","2.82842712474619","3.46410161513775","0","2.82842712474619","4","0","0","0","0","0","2.82842712474619","0","0","2.82842712474619","3.46410161513775","4.44948974278318","2.44948974278318","4.82842712474619","0","0","2","0","4.44948974278318","4.87831517751085","3.41421356237309","1.41421356237309","3.14626436994197","5.86370330515627","3.22474487139159","6.4265033360995"
"2.82842712474619","3.46410161513775","0","2.82842712474619","4","0","0","0","0","0","2.82842712474619","0","0","2.82842712474619","3.46410161513775","6.6332495807108","4.44948974278318","2","2.82842712474619","0","0","2","2","7.13990550260661","4.56047793231507","2","1.41421356237309","6.46288916029737","4.63895843376468","5.5699527513033","7.21879032749277"
"3.46410161513775","0","2.82842712474619","4","0","0","0","0","0","2.82842712474619","0","0","2.82842712474619","3.46410161513775","6.6332495807108","4.47213595499958","2.44948974278318","4.82842712474619","0","0","2","0","4.44948974278318","7.85269341999181","5.14626436994197","0","1.41421356237309","8.69895713779716","3.63895843376468","7.15109158138749","7.62971753505611"
"0","2.82842712474619","4","0","0","0","0","0","2.82842712474619","0","0","2.82842712474619","3.46410161513775","6.6332495807108","4.47213595499958","3.46410161513775","2","2.82842712474619","0","0","2","2","7.13990550260661","5.61176740295156","3.41421356237309","0","2.82842712474619","9.01679438299294","2.41421356237309","8.37583645277908","7.62971753505611"
"2.82842712474619","4","0","0","0","0","0","2.82842712474619","0","0","2.82842712474619","3.46410161513775","6.6332495807108","4.47213595499958","3.46410161513775","2.82842712474619","4.82842712474619","0","0","2","0","4.44948974278318","7.85269341999181","4.44948974278318","3.41421356237309","1.41421356237309","3.14626436994197","8.69895713779716","3.41421356237309","8.37583645277908","8.33682431624266"
"4","0","0","0","0","0","2.82842712474619","0","0","2.82842712474619","3.46410161513775","6.6332495807108","4.47213595499958","3.46410161513775","2.82842712474619","4","2.82842712474619","0","0","2","2","7.13990550260661","5.61176740295156","4.82842712474619","2","1.41421356237309","6.46288916029737","7.38233234744176","2.41421356237309","9.79005001515218","8.62971753505611"
"0","0","0","0","0","2.82842712474619","0","0","2.82842712474619","3.46410161513775","6.6332495807108","4.47213595499958","3.46410161513775","2.82842712474619","4","2.82842712474619","0","0","2","0","4.44948974278318","7.85269341999181","4.44948974278318","4.82842712474619","0","1.41421356237309","8.69895713779716","6.56047793231507","1","10.7900500151522","8.33682431624266"
