"ut_hard","soft"
4.875,1.498
1.062,1.216
2.323,1.158
2.336,1.197
2.344,1.221
3.099,1.193
0.277,1.079
4.223,1.432
4.278,1.341
-0.263,0.582
0.27,0.501
2.216,1.141
5.909,1.131
0.754,0.808
2.231,0.718
2.967,0.634
1.511,0.4
2.222,0.363
3.281,0.23
1.231,-0.191
2.235,-0.404
2.239,-0.472
2.246,-0.53
2.253,-0.677
2.261,-0.654
2.267,-0.645
1.495,-0.5
0.842,0.35
0.275,1.34
7.859,1.721
2.155,1.514
1.567,1.373
1.54,1.236
2.274,1.137
2.271,1.037
2.267,0.839
2.263,0.842
2.259,0.864
2.255,0.884
2.251,0.904
3.003,0.921
1.473,0.908
1.017,1
4.538,1.149
0.556,0.795
0.353,0.671
3.131,1.468
6.173,1.51
0.598,1.2
2.351,1.209
2.352,0.987
2.358,0.694
1.612,0.572
3.868,0.505
1.613,0.403
2.357,0.38
2.339,0.238
2.325,0.115
2.297,-0.015
2.25,-0.031
2.172,-0.064
2.031,-0.162
