"ut_hard","soft"
4.875,1.046
1.062,-0.662
2.323,-0.713
2.336,-0.892
2.344,-0.634
3.099,0.248
0.277,0.036
4.223,2.925
4.278,2.57
-0.263,0.507
0.27,0.645
2.216,2.454
5.909,3.664
0.754,2.807
2.231,2.102
2.967,1.516
1.511,0.371
2.222,0.359
3.281,0.234
1.231,-2.781
2.235,-3.47
2.239,-3.94
2.246,-4.317
2.253,-3.694
2.261,-2.623
2.267,-2.253
1.495,-1.129
0.842,0.888
0.275,2.77
7.859,5.494
2.155,4.716
1.567,3.479
1.54,2.421
2.274,1.598
2.271,0.728
2.267,-0.378
2.263,-0.838
2.259,-0.864
2.255,-1.105
2.251,-0.782
3.003,-0.14
1.473,-0.243
1.017,0.122
4.538,1.59
0.556,1.333
0.353,1.02
3.131,4.362
6.173,4.706
0.598,3.148
2.351,2.415
2.352,1.289
2.358,-0.002
1.612,-0.679
3.868,-0.676
1.613,-1.361
2.357,-1.405
2.339,-1.847
2.325,-2.331
2.297,-2.331
2.25,-2.454
2.172,-2.331
2.031,-1.981
