"ut_hard","soft"
4.875,0.6
1.062,0.514
2.323,0.542
2.336,0.47
2.344,0.578
3.099,0.755
0.277,0.586
4.223,1.987
4.278,1.898
-0.263,0.935
0.27,0.921
2.216,2.111
5.909,2.466
0.754,1.912
2.231,1.462
2.967,1.046
1.511,0.421
2.222,0.2
3.281,-0.208
1.231,-1.529
2.235,-2.112
2.239,-2.259
2.246,-2.237
2.253,-2.018
2.261,-1.555
2.267,-1.208
1.495,-0.646
0.842,0.643
0.275,2.129
7.859,3.325
2.155,2.975
1.567,2.431
1.54,1.924
2.274,1.551
2.271,1.099
2.267,0.513
2.263,0.213
2.259,-0.006
2.255,-0.217
2.251,-0.13
3.003,0.16
1.473,0.343
1.017,0.767
4.538,1.411
0.556,1.267
0.353,1.014
3.131,2.894
6.173,2.797
0.598,2.194
2.351,1.872
2.352,1.228
2.358,0.479
1.612,0.009
3.868,-0.41
1.613,-0.889
2.357,-1.124
2.339,-1.403
2.325,-1.607
2.297,-1.781
2.25,-1.803
2.172,-1.847
2.031,-1.981
