"ut_hard","soft"
4.875,0.773
1.062,0.698
2.323,0.72
2.336,0.745
2.344,0.76
3.099,0.77
0.277,0.771
4.223,0.942
4.278,0.966
-0.263,0.535
0.27,0.532
2.216,0.991
5.909,0.987
0.754,0.819
2.231,0.777
2.967,0.705
1.511,0.587
2.222,0.587
3.281,0.501
1.231,0.25
2.235,0.145
2.239,0.136
2.246,0.15
2.253,0.04
2.261,0.025
2.267,-0.005
1.495,0.077
0.842,0.683
0.275,1.3
7.859,1.449
2.155,1.291
1.567,1.178
1.54,1.063
2.274,1.014
2.271,0.926
2.267,0.708
2.263,0.63
2.259,0.592
2.255,0.585
2.251,0.576
3.003,0.575
1.473,0.579
1.017,0.644
4.538,0.797
0.556,0.614
0.353,0.629
3.131,1.159
6.173,1.234
0.598,1.029
2.351,1.054
2.352,0.962
2.358,0.788
1.612,0.754
3.868,0.755
1.613,0.689
2.357,0.696
2.339,0.633
2.325,0.572
2.297,0.514
2.25,0.551
2.172,0.442
2.031,0.101
