"V1","V2","V3","V4","V5","V6","V7"
"hard","hard","hard","hard","hard","hard","hard"
"Cs","Cs","Cs","Cs","Cs","Cs","Cs"
"5.04975246918104","2.34520787991171","2.34520787991171","1.22474487139159","5.22902660944912","2.52433779896214","5.48245655019803"
"2.34520787991171","2.34520787991171","1.22474487139159","2.34520787991171","3.3166247903554","2.52433779896214","4.13018425556337"
"2.34520787991171","1.22474487139159","2.34520787991171","3.67423461417477","2.52433779896214","4.25638860653102","4.79469762269489"
"1.22474487139159","2.34520787991171","3.67423461417477","1.22474487139159","2.52433779896214","3.46410161513775","4.23446611843483"
"2.34520787991171","3.67423461417477","1.22474487139159","4.63680924774785","4.25638860653102","4.14474466593544","5.94049830661296"
"3.67423461417477","1.22474487139159","4.63680924774785","5.04975246918104","3.46410161513775","6.84943347642242","7.29277060124762"
"1.22474487139159","4.63680924774785","5.04975246918104","2.34520787991171","4.14474466593544","5.22902660944912","6.6282572341161"
"4.63680924774785","5.04975246918104","2.34520787991171","1.22474487139159","6.84943347642242","2.52433779896214","6.6282572341161"
"5.04975246918104","2.34520787991171","1.22474487139159","3.67423461417477","5.22902660944912","3.46410161513775","6.14696991732955"
"2.34520787991171","1.22474487139159","3.67423461417477","6.12372435695795","2.52433779896214","6.92820323027551","6.68395586121801"
"1.22474487139159","3.67423461417477","6.12372435695795","3.67423461417477","3.46410161513775","6.92820323027551","7.34846922834953"
"3.67423461417477","6.12372435695795","3.67423461417477","3.08220700148449","6.92820323027551","4.77752568312365","8.27720029339598"
"6.12372435695795","3.67423461417477","3.08220700148449","3.67423461417477","6.92820323027551","4.77752568312365","8.27720029339598"
"3.67423461417477","3.08220700148449","3.67423461417477","1.22474487139159","4.77752568312365","3.46410161513775","5.8277105506128"
"3.08220700148449","3.67423461417477","1.22474487139159","3.08220700148449","4.77752568312365","3.04547487555477","5.53169674426767"
"3.67423461417477","1.22474487139159","3.08220700148449","4.18330013267038","3.46410161513775","5.13748936332014","6.08224330986061"
"1.22474487139159","3.08220700148449","4.18330013267038","1.22474487139159","3.04547487555477","3.82406529533425","4.85749843846902"
"3.08220700148449","4.18330013267038","1.22474487139159","1.22474487139159","5.13748936332014","1.73205080756888","4.85749843846902"
"4.18330013267038","1.22474487139159","1.22474487139159","1.22474487139159","3.82406529533425","1.73205080756888","3.92876737342257"
"1.22474487139159","1.22474487139159","1.22474487139159","1.22474487139159","1.73205080756888","1.73205080756888","2.44948974278318"
"1.22474487139159","1.22474487139159","1.22474487139159","1.22474487139159","1.73205080756888","1.73205080756888","2.44948974278318"
"1.22474487139159","1.22474487139159","1.22474487139159","3.08220700148449","1.73205080756888","3.04547487555477","3.37822080782963"
"1.22474487139159","1.22474487139159","3.08220700148449","1.22474487139159","1.73205080756888","3.04547487555477","3.37822080782963"
"1.22474487139159","3.08220700148449","1.22474487139159","1.22474487139159","3.04547487555477","1.73205080756888","3.37822080782963"
"3.08220700148449","1.22474487139159","1.22474487139159","3.08220700148449","3.04547487555477","3.04547487555477","4.30695187287608"
"1.22474487139159","1.22474487139159","3.08220700148449","3.67423461417477","1.73205080756888","4.77752568312365","4.60296567922122"
"1.22474487139159","3.08220700148449","3.67423461417477","6.74536878161602","3.04547487555477","7.36777221843804","7.36327763433343"
"3.08220700148449","3.67423461417477","6.74536878161602","4.63680924774785","4.77752568312365","8.04841526923573","9.06930982251156"
"3.67423461417477","6.74536878161602","4.63680924774785","3.67423461417477","7.36777221843804","5.87679547350432","9.3653236288567"
"6.74536878161602","4.63680924774785","3.67423461417477","3.08220700148449","8.04841526923573","4.77752568312365","9.06930982251156"
"4.63680924774785","3.67423461417477","3.08220700148449","4.18330013267038","5.87679547350432","5.13748936332014","7.78827549803874"
"3.67423461417477","3.08220700148449","4.18330013267038","3.08220700148449","4.77752568312365","5.13748936332014","7.01097437490706"
"3.08220700148449","4.18330013267038","3.08220700148449","1.22474487139159","5.13748936332014","3.04547487555477","5.78622950351547"
"4.18330013267038","3.08220700148449","1.22474487139159","2.34520787991171","5.13748936332014","2.52433779896214","5.41772994272908"
"3.08220700148449","1.22474487139159","2.34520787991171","3.08220700148449","3.04547487555477","3.83776186694804","4.86718337713614"
"1.22474487139159","2.34520787991171","3.08220700148449","1.22474487139159","2.52433779896214","3.04547487555477","3.93845231208969"
"2.34520787991171","3.08220700148449","1.22474487139159","2.34520787991171","3.83776186694804","2.52433779896214","4.49868381634975"
"3.08220700148449","1.22474487139159","2.34520787991171","3.67423461417477","3.04547487555477","4.25638860653102","5.16319718348128"
"1.22474487139159","2.34520787991171","3.67423461417477","1.22474487139159","2.52433779896214","3.46410161513775","4.23446611843483"
"2.34520787991171","3.67423461417477","1.22474487139159","2.34520787991171","4.25638860653102","2.52433779896214","4.79469762269489"
"3.67423461417477","1.22474487139159","2.34520787991171","5.04975246918104","3.46410161513775","5.22902660944912","6.14696991732955"
"1.22474487139159","2.34520787991171","5.04975246918104","3.08220700148449","2.52433779896214","5.75016368604176","5.85095611098441"
"2.34520787991171","5.04975246918104","3.08220700148449","1.22474487139159","5.22902660944912","3.04547487555477","5.85095611098441"
"5.04975246918104","3.08220700148449","1.22474487139159","4.63680924774785","5.75016368604176","4.14474466593544","6.99675679490248"
"3.08220700148449","1.22474487139159","4.63680924774785","6.44204936336256","3.04547487555477","7.83393605172315","7.69290524199324"
"1.22474487139159","4.63680924774785","6.44204936336256","3.67423461417477","4.14474466593544","7.15329300092546","7.98891904833838"
"4.63680924774785","6.44204936336256","3.67423461417477","3.67423461417477","7.83393605172315","5.19615242270663","9.21366391972997"
"6.44204936336256","3.67423461417477","3.67423461417477","3.08220700148449","7.15329300092546","4.77752568312365","8.43636279659829"
"3.67423461417477","3.67423461417477","3.08220700148449","2.34520787991171","5.19615242270663","3.83776186694804","6.38794205487287"
"3.67423461417477","3.08220700148449","2.34520787991171","1.22474487139159","4.77752568312365","2.52433779896214","5.16319718348128"
"3.08220700148449","2.34520787991171","1.22474487139159","3.67423461417477","3.83776186694804","3.46410161513775","5.16319718348128"
"2.34520787991171","1.22474487139159","3.67423461417477","1.22474487139159","2.52433779896214","3.46410161513775","4.23446611843483"
"1.22474487139159","3.67423461417477","1.22474487139159","3.08220700148449","3.46410161513775","3.04547487555477","4.60296567922122"
"3.67423461417477","1.22474487139159","3.08220700148449","1.22474487139159","3.46410161513775","3.04547487555477","4.60296567922122"
"1.22474487139159","3.08220700148449","1.22474487139159","2.34520787991171","3.04547487555477","2.52433779896214","3.93845231208969"
"3.08220700148449","1.22474487139159","2.34520787991171","1.22474487139159","3.04547487555477","2.52433779896214","3.93845231208969"
"1.22474487139159","2.34520787991171","1.22474487139159","2.34520787991171","2.52433779896214","2.52433779896214","3.5699527513033"
"2.34520787991171","1.22474487139159","2.34520787991171","1.22474487139159","2.52433779896214","2.52433779896214","3.5699527513033"
