"ut_hard","soft"
3.508,2.022
2.152,1.986
1.552,1.993
1.604,1.953
1.857,2.001
1.832,2.053
1.59,1.904
5.543,2.93
3.794,2.771
1.662,2.138
1.525,2.112
2.875,2.875
4.307,3.188
3.339,2.778
2.591,2.465
2.465,2.232
1.906,1.906
2.107,1.844
2.956,1.754
7.661,1.521
2.002,1.567
1.644,1.574
1.748,1.576
1.669,1.54
1.623,1.502
2.008,1.501
1.772,1.55
1.782,2.029
2.686,2.987
8.85,3.851
5.802,3.575
3.69,3.184
2.835,2.811
2.551,2.551
2.061,2.275
1.656,1.964
1.637,1.848
1.641,1.774
1.645,1.707
1.739,1.739
1.832,1.832
1.672,1.882
1.734,2.064
2.68,2.447
2.237,2.351
1.708,2.097
5.448,3.574
5.018,3.453
3.922,2.992
3.175,2.745
2.335,2.335
1.777,1.944
1.633,1.763
1.549,1.643
1.52,1.551
1.525,1.525
1.504,1.504
1.5,1.5
1.503,1.503
1.504,1.504
1.506,1.506
1.513,1.513
