"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
"hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard"
"Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs"
"5.09901951359278","2.44948974278318","2.44948974278318","1.4142135623731","2.44948974278318","3.74165738677394","1.4142135623731","4.69041575982343","5.09901951359278","2.44948974278318","1.4142135623731","3.74165738677394","6.16441400296898","3.74165738677394","3.16227766016838","3.74165738677394","1.4142135623731","3.16227766016838","4.24264068711928","1.4142135623731","1.4142135623731","1.4142135623731","1.4142135623731","1.4142135623731","3.16227766016838","1.4142135623731","1.4142135623731","3.16227766016838","3.74165738677394","6.78232998312527","4.69041575982343","3.74165738677394","5.33760208303287","2.73205080756888","4.37780211863347","4.3166247903554","5.33760208303287","3.64575131106459","7.00465025460526","4.88181928856438","3.23606797749979","4","2","2","3.23606797749979","3.23606797749979","7.44158283437731","5.96237610141999","5.70610628076612","6.14788822587682","6.3521901027615","8.40500321834262","5.11667273601693","2.82842712474619","4.57649122254147","9.47803025824829","8.3820398997953","10.4349114686335","5.61803398874989","9.93804744539844","13.3055939138735","10.9998106707764","17.1865164012886"
"2.44948974278318","2.44948974278318","1.4142135623731","2.44948974278318","3.74165738677394","1.4142135623731","4.69041575982343","5.09901951359278","2.44948974278318","1.4142135623731","3.74165738677394","6.16441400296898","3.74165738677394","3.16227766016838","3.74165738677394","1.4142135623731","3.16227766016838","4.24264068711928","1.4142135623731","1.4142135623731","1.4142135623731","1.4142135623731","1.4142135623731","3.16227766016838","1.4142135623731","1.4142135623731","3.16227766016838","3.74165738677394","6.78232998312527","4.69041575982343","3.74165738677394","3.16227766016838","3.46410161513775","2.73205080756888","3.64575131106459","6.92217606581939","2.73205080756888","7.00465025460526","4.88181928856438","3.64575131106459","5.23606797749979","2","2","3.23606797749979","2","4.88181928856438","8.11245631366812","4.88181928856438","4.38134139536131","7.47265311128162","6.8848873474496","6.02990299804468","5.11667273601693","3.70245917364383","4.86618108584425","9.18834039494551","8.3820398997953","9.13213583090155","6.23606797749979","9.93804744539844","12.3843924260686","11.4368266952253","16.8441455767975"
"2.44948974278318","1.4142135623731","2.44948974278318","3.74165738677394","1.4142135623731","4.69041575982343","5.09901951359278","2.44948974278318","1.4142135623731","3.74165738677394","6.16441400296898","3.74165738677394","3.16227766016838","3.74165738677394","1.4142135623731","3.16227766016838","4.24264068711928","1.4142135623731","1.4142135623731","1.4142135623731","1.4142135623731","1.4142135623731","3.16227766016838","1.4142135623731","1.4142135623731","3.16227766016838","3.74165738677394","6.78232998312527","4.69041575982343","3.74165738677394","3.16227766016838","4.24264068711928","2.73205080756888","4.37780211863347","4.3166247903554","5.33760208303287","3.64575131106459","7.00465025460526","4.88181928856438","3.23606797749979","4","2","2","3.23606797749979","3.23606797749979","7.44158283437731","5.96237610141999","5.23606797749979","5.0274252173567","6.82656928928624","7.53097116944498","5.7402131347419","4.24264068711928","3.70245917364383","7.55023929622034","7.91849574694252","8.3820398997953","9.38414441586701","5.61803398874989","10.9380474453984","12.5625894054149","11.706917451963","17.1611328749053"
"1.4142135623731","2.44948974278318","3.74165738677394","1.4142135623731","4.69041575982343","5.09901951359278","2.44948974278318","1.4142135623731","3.74165738677394","6.16441400296898","3.74165738677394","3.16227766016838","3.74165738677394","1.4142135623731","3.16227766016838","4.24264068711928","1.4142135623731","1.4142135623731","1.4142135623731","1.4142135623731","1.4142135623731","3.16227766016838","1.4142135623731","1.4142135623731","3.16227766016838","3.74165738677394","6.78232998312527","4.69041575982343","3.74165738677394","3.16227766016838","4.24264068711928","3.16227766016838","2.73205080756888","3.64575131106459","6.92217606581939","2.73205080756888","7.00465025460526","4.88181928856438","3.64575131106459","5.23606797749979","2","2","3.23606797749979","2","4.88181928856438","8.11245631366812","4.88181928856438","5.23606797749979","4.50978712715165","6.82656928928624","8.40500321834262","6.28039464821735","2.82842712474619","3.70245917364383","9.18834039494551","7.15442669711499","8.01601449601086","10.384144415867","4.61803398874989","11.5560814341483","13.0108771414989","11.4368266952253","17.287137167388"
"2.44948974278318","3.74165738677394","1.4142135623731","4.69041575982343","5.09901951359278","2.44948974278318","1.4142135623731","3.74165738677394","6.16441400296898","3.74165738677394","3.16227766016838","3.74165738677394","1.4142135623731","3.16227766016838","4.24264068711928","1.4142135623731","1.4142135623731","1.4142135623731","1.4142135623731","1.4142135623731","3.16227766016838","1.4142135623731","1.4142135623731","3.16227766016838","3.74165738677394","6.78232998312527","4.69041575982343","3.74165738677394","3.16227766016838","4.24264068711928","3.16227766016838","1.4142135623731","4.37780211863347","4.3166247903554","5.33760208303287","3.64575131106459","7.00465025460526","4.88181928856438","3.23606797749979","4","2","2","3.23606797749979","3.23606797749979","7.44158283437731","5.96237610141999","5.23606797749979","3.23606797749979","6.14788822587682","6.3521901027615","8.40500321834262","5.11667273601693","2.82842712474619","4.57649122254147","9.47803025824829","5.99070478491457","8.83889015154316","9.56126876033471","5.23606797749979","10.9380474453984","13.0108771414989","11.4368266952253","17.287137167388"
"3.74165738677394","1.4142135623731","4.69041575982343","5.09901951359278","2.44948974278318","1.4142135623731","3.74165738677394","6.16441400296898","3.74165738677394","3.16227766016838","3.74165738677394","1.4142135623731","3.16227766016838","4.24264068711928","1.4142135623731","1.4142135623731","1.4142135623731","1.4142135623731","1.4142135623731","3.16227766016838","1.4142135623731","1.4142135623731","3.16227766016838","3.74165738677394","6.78232998312527","4.69041575982343","3.74165738677394","3.16227766016838","4.24264068711928","3.16227766016838","1.4142135623731","2.44948974278318","3.64575131106459","6.92217606581939","2.73205080756888","7.00465025460526","4.88181928856438","3.64575131106459","5.23606797749979","2","2","3.23606797749979","2","4.88181928856438","8.11245631366812","4.88181928856438","5.23606797749979","2.73205080756888","7.47265311128162","6.8848873474496","6.02990299804468","5.11667273601693","3.70245917364383","4.86618108584425","9.18834039494551","5.63431082622197","10.1523142195291","7.88181928856438","6.05894363303208","10.4811971936506","12.7520580963964","11.6956457403278","17.287137167388"
"1.4142135623731","4.69041575982343","5.09901951359278","2.44948974278318","1.4142135623731","3.74165738677394","6.16441400296898","3.74165738677394","3.16227766016838","3.74165738677394","1.4142135623731","3.16227766016838","4.24264068711928","1.4142135623731","1.4142135623731","1.4142135623731","1.4142135623731","1.4142135623731","3.16227766016838","1.4142135623731","1.4142135623731","3.16227766016838","3.74165738677394","6.78232998312527","4.69041575982343","3.74165738677394","3.16227766016838","4.24264068711928","3.16227766016838","1.4142135623731","2.44948974278318","3.16227766016838","4.3166247903554","5.33760208303287","3.64575131106459","7.00465025460526","4.88181928856438","3.23606797749979","4","2","2","3.23606797749979","3.23606797749979","7.44158283437731","5.96237610141999","5.23606797749979","3.23606797749979","3.96811878506867","6.82656928928624","7.53097116944498","5.7402131347419","4.24264068711928","3.70245917364383","7.55023929622034","7.91849574694252","5.09412931274652","10.1523142195291","7.05894363303208","7.95685939468844","9.20131542074412","12.1701971402962","12.1326617647766","17.1847163339968"
"4.69041575982343","5.09901951359278","2.44948974278318","1.4142135623731","3.74165738677394","6.16441400296898","3.74165738677394","3.16227766016838","3.74165738677394","1.4142135623731","3.16227766016838","4.24264068711928","1.4142135623731","1.4142135623731","1.4142135623731","1.4142135623731","1.4142135623731","3.16227766016838","1.4142135623731","1.4142135623731","3.16227766016838","3.74165738677394","6.78232998312527","4.69041575982343","3.74165738677394","3.16227766016838","4.24264068711928","3.16227766016838","1.4142135623731","2.44948974278318","3.16227766016838","1.4142135623731","6.92217606581939","2.73205080756888","7.00465025460526","4.88181928856438","3.64575131106459","5.23606797749979","2","2","3.23606797749979","2","4.88181928856438","8.11245631366812","4.88181928856438","5.23606797749979","2.73205080756888","3.23606797749979","6.82656928928624","8.40500321834262","6.28039464821735","2.82842712474619","3.70245917364383","9.18834039494551","7.15442669711499","4.22009726384887","10.770348208279","6.44090964428219","9.11517178986614","8.04300302556642","12.1701971402962","12.1326617647766","17.1847163339968"
