"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard"
"Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs"
"5.09901951359278","2.44948974278318","2.44948974278318","1.4142135623731","2.44948974278318","3.74165738677394","1.4142135623731","4.69041575982343","5.33760208303287","2.73205080756888","4.37780211863347","4.3166247903554","5.70610628076612","6.14788822587682","8.3820398997953"
"2.44948974278318","2.44948974278318","1.4142135623731","2.44948974278318","3.74165738677394","1.4142135623731","4.69041575982343","5.09901951359278","3.46410161513775","2.73205080756888","3.64575131106459","6.92217606581939","4.38134139536131","7.47265311128162","8.3820398997953"
"2.44948974278318","1.4142135623731","2.44948974278318","3.74165738677394","1.4142135623731","4.69041575982343","5.09901951359278","2.44948974278318","2.73205080756888","4.37780211863347","4.3166247903554","5.33760208303287","5.0274252173567","6.82656928928624","8.3820398997953"
"1.4142135623731","2.44948974278318","3.74165738677394","1.4142135623731","4.69041575982343","5.09901951359278","2.44948974278318","1.4142135623731","2.73205080756888","3.64575131106459","6.92217606581939","2.73205080756888","4.50978712715165","6.82656928928624","8.01601449601086"
"2.44948974278318","3.74165738677394","1.4142135623731","4.69041575982343","5.09901951359278","2.44948974278318","1.4142135623731","3.74165738677394","4.37780211863347","4.3166247903554","5.33760208303287","3.64575131106459","6.14788822587682","6.3521901027615","8.83889015154316"
"3.74165738677394","1.4142135623731","4.69041575982343","5.09901951359278","2.44948974278318","1.4142135623731","3.74165738677394","6.16441400296898","3.64575131106459","6.92217606581939","2.73205080756888","7.00465025460526","7.47265311128162","6.8848873474496","10.1523142195291"
"1.4142135623731","4.69041575982343","5.09901951359278","2.44948974278318","1.4142135623731","3.74165738677394","6.16441400296898","3.74165738677394","4.3166247903554","5.33760208303287","3.64575131106459","7.00465025460526","6.82656928928624","7.53097116944498","10.1523142195291"
"4.69041575982343","5.09901951359278","2.44948974278318","1.4142135623731","3.74165738677394","6.16441400296898","3.74165738677394","3.16227766016838","6.92217606581939","2.73205080756888","7.00465025460526","4.88181928856438","6.82656928928624","8.40500321834262","10.770348208279"
"5.09901951359278","2.44948974278318","1.4142135623731","3.74165738677394","6.16441400296898","3.74165738677394","3.16227766016838","3.74165738677394","5.33760208303287","3.64575131106459","7.00465025460526","4.88181928856438","6.3521901027615","8.40500321834262","10.4349114686335"
"2.44948974278318","1.4142135623731","3.74165738677394","6.16441400296898","3.74165738677394","3.16227766016838","3.74165738677394","1.4142135623731","2.73205080756888","7.00465025460526","4.88181928856438","3.64575131106459","6.8848873474496","6.02990299804468","9.13213583090155"
"1.4142135623731","3.74165738677394","6.16441400296898","3.74165738677394","3.16227766016838","3.74165738677394","1.4142135623731","3.16227766016838","3.64575131106459","7.00465025460526","4.88181928856438","3.23606797749979","7.53097116944498","5.7402131347419","9.38414441586701"
"3.74165738677394","6.16441400296898","3.74165738677394","3.16227766016838","3.74165738677394","1.4142135623731","3.16227766016838","4.24264068711928","7.00465025460526","4.88181928856438","3.64575131106459","5.23606797749979","8.40500321834262","6.28039464821735","10.384144415867"
"6.16441400296898","3.74165738677394","3.16227766016838","3.74165738677394","1.4142135623731","3.16227766016838","4.24264068711928","1.4142135623731","7.00465025460526","4.88181928856438","3.23606797749979","4","8.40500321834262","5.11667273601693","9.56126876033471"
