"ut_hard","soft"
4.875,1.696
1.062,1.657
2.323,1.67
2.336,1.629
2.344,1.69
3.099,1.804
0.277,1.754
4.223,2.535
4.278,2.522
-0.263,1.926
0.27,1.93
2.216,2.71
5.909,2.944
0.754,2.542
2.231,2.239
2.967,1.959
1.511,1.6
2.222,1.462
3.281,1.236
1.231,0.802
2.235,0.606
2.239,0.555
2.246,0.565
2.253,0.622
2.261,0.762
2.267,0.898
1.495,1.117
0.842,1.723
0.275,2.693
7.859,3.601
2.155,3.34
1.567,2.922
1.54,2.554
2.274,2.296
2.271,1.998
2.267,1.655
2.263,1.485
2.259,1.368
2.255,1.265
2.251,1.302
3.003,1.452
1.473,1.566
1.017,1.816
4.538,2.2
0.556,2.113
0.353,2.026
3.131,3.254
6.173,3.197
0.598,2.741
2.351,2.517
2.352,2.084
2.358,1.635
1.612,1.383
3.868,1.182
1.613,0.978
2.357,0.885
2.339,0.788
2.325,0.723
2.297,0.671
2.25,0.665
2.172,0.652
2.031,0.613
