"ut_hard","soft"
4.875,1.664
1.062,1.614
2.323,1.631
2.336,1.59
2.344,1.651
3.099,1.755
0.277,1.656
4.223,2.583
4.278,2.518
-0.263,1.865
0.27,1.857
2.216,2.675
5.909,2.947
0.754,2.528
2.231,2.21
2.967,1.935
1.511,1.562
2.222,1.443
3.281,1.239
1.231,0.725
2.235,0.56
2.239,0.523
2.246,0.529
2.253,0.585
2.261,0.717
2.267,0.831
1.495,1.045
0.842,1.689
0.275,2.689
7.859,3.643
2.155,3.353
1.567,2.92
1.54,2.537
2.274,2.271
2.271,1.969
2.267,1.614
2.263,1.449
2.259,1.337
2.255,1.235
2.251,1.276
3.003,1.422
1.473,1.519
1.017,1.762
4.538,2.175
0.556,2.079
0.353,1.915
3.131,3.288
6.173,3.209
0.598,2.738
2.351,2.499
2.352,2.053
2.358,1.595
1.612,1.344
3.868,1.146
1.613,0.948
2.357,0.861
2.339,0.766
2.325,0.701
2.297,0.65
2.25,0.644
2.172,0.631
2.031,0.594
